タイトル,本文,開始日,終了日,種別,表示期間,表示順
9月度全体会議について,"9月4日（金）に実施します！

参加できるよう、スケジュール調整をお願いします。

### 詳細

開催時間や場所などの詳細は、LINE WORKSの案内を確認してください。

https://board.worksmobile.com/main/article/4080000000863332132?ogToken=23921.f301bf3905cc484b91c5dcb6a8629b54",2026-08-26,2026-09-04,info,期間,1
月末締め対応について,"WEB勤怠の月末締めについて、以下の対応をお願いします。

### 月末締め期日

- 当月の最終営業日 20:00までを目安に、WEB勤怠の本人締めを完了してください。
- 現場都合等により20:00以降になる場合は、対応予定時刻とあわせて事前にグループラインまたは担当管理者へ連絡をお願いします。
- 常駐勤務者は、現場勤務表についても同じ期日までに提出してください。

本来は最終勤務日中に締めてもらえれば問題ありませんが、遅い時間に不備が見つかると、確認・修正が深夜帯に及ぶ可能性があります。

そのため、「20:00までに必ず締めなければならない」ということではなく、遅くなる場合は事前に連携するという意図になります。

### 締める際の注意点

WEB勤怠や現場勤務表は、皆さんの給与計算にも関わる重要な情報です。

「締めれば終わり」ではなく、

- WEB勤怠と現場勤務表に乖離がないか
- 勤怠・工数の入力に漏れや誤りがないか
- 内容に不備がない状態で締められているか

を確認したうえで、本人締めを行ってください。

月末にまとめて確認するのではなく、日々・週次で勤怠や工数を適切に入力しておくこともお願いします。

## 現場勤務表の提出先

常駐勤務者（受託勤務者は対象外）は、現場勤務表の提出先に以下を設定してください。

### 宛先
 [【HD】総務経理グループ共有](mailto:soumubu@sysystem.co.jp)

### CC
[【SYS】関東事業部 営業部共有](mailto:kantou.eigyoubu@sysystem.co.jp)

[ 米花雅史（SY000594）](mailto:yonehana.masashi@sysystem.co.jp)

 [伊藤良多（SY000901）](mailto:ito.ryota@sysystem.co.jp)",2026-08-27,,info,恒常,1
9月度管理ライン別会議について,"9月4日（金）19:00～ 管理ライン別会議を実施します！

場所：事業所（執務室）
形式：懇親会形式（軽食あり）
※懇親会形式のため工数はつきません。

今期が始まり約1ヶ月ですが、普段は他メンバーの業務内容やスキルを知る機会も多くありません。

今回は、お互いの仕事や得意分野を知りつつ、懇親を深めることを目的とした場にしたいと思います。
堅苦しい場ではなく、軽食やお酒を楽しみながら、現場業務や趣味などについて、ゲーム性も取り入れつつ気軽に楽しく交流できる場を準備しています。

ぜひ皆さんご参加ください！
by 伊藤L

- - -

2026/08/27
会社からの落とし込み事項をまとめましたので、ライン別会議ページより資料をご確認ください",2026-08-26,2026-09-04,info,期間,1.01
認証者設定について,"各種申請や週報を提出する前に、Web勤怠の認証者設定を以下のように設定してください。

### メイン
- 000594　米花雅史

### サブ
- 000901　伊藤良多
- 支援中案件の担当営業

### 代理
- 900343　荒井淳一
- 000127　大西玄朗
- 000317　百瀬陽一
- 000486　須坂文哉",2026-07-27,,info,恒常,2
テーマカラーを選べるようにしました！,"🍑百瀬部長からのアイデアをいただき、テーマカラーを選択できるようにしました！

サイドメニュー右下の「🎨」から、各自で好きなテーマカラーを選択できます。

現状、選べる色は限られていますが、選択したカラーでダッシュボードが表示されます。

「こんな色にできる？」などあれば、ぜひリクエストください！

（その過程で、しれっと百瀬部長もメンバーに追加してみました･･･ただし人数カウントには入っていません）",2026-08-28,2026-09-04,info,,3
今期の部門コードについて,"工数入力等、下記を利用してください。

### 2210：東京受託ｼｽﾃﾑ部
### 2220：東京常駐ｼｽﾃﾑ部",2026-08-08,2026-08-31,info,期間,4
,,,,,,
機能をアップデートしました！（ライフハック掲載、ポートフォリオページ追加）,"## 💡 ライフハックを掲載するようにしました！

ナレッジページに、皆さんにとって役に立つ情報を「ライフハック」として随時掲載していきたいと思います！

皆さんからも、

- こんな情報が役に立った
- みんなにも共有したい
- ナレッジとして残しておきたい

といった情報があれば、ぜひ共有してください！

皆さんからの情報もお待ちしています！

---

## 👤 ポートフォリオページを追加しました！

メンバー一覧のメンバーカードをクリックすると、個人ごとのポートフォリオページを確認できるようにしました。

### 📊 見られる内容

- スキル分野のレーダーチャート（最新評価時期）
- 得意スキル・分野別スキル分布
- 保有資格一覧
- 3SEレポート提出履歴

自分のスキルやこれまでの実績を振り返ることもできますので、まずは自分のページを見てみてください！",2026-08-24,2026-08-31,info,期間,
災害時安否確認スルーテストの実施について（延期）,"【2026年9月19日（土）9:45～】から実施されます。

詳細はdesknet'sのインフォメーションにありますので、こちらの確認もお願いします。
[https://gw.sysystem.co.jp/cgi-bin/dneo/z.cgi?1zc5d05pu0my](https://gw.sysystem.co.jp/cgi-bin/dneo/z.cgi?1zc5d05pu0my=)

> 当日までに必ず「desknet's緊急連絡先設定」を行ってください。",2026-08-21,2026-08-27,info,期間,
機能をアップデートしました！,"3SEレポート提出状況のページに、実際に提出されたレポートを確認できるようにしました！

「何を出したらいいか分からない」という方は、今後の参考としてぜひ確認してみてください。

あわせて、ナレッジ・FAQにも3SEレポートに関連するトピックを追加していますので、こちらも活用してください。

### その他のナレッジについて

その他のナレッジについても、随時アップデートしています。
ぜひ 自らウォッチして確認すること を意識してもらえればと思います。

また、

- 「こんな情報があったらいいな」
- 「こういう機能が欲しい」
- 「ここが分かりにくい」

といった意見があれば、ぜひ共有してください。

みんなで使いやすく、役立つものにしていければと思いますので、よろしくお願いします！",2026-08-11,2026-08-18,info,期間,
機能を追加しました！,"### あなたの状況
自身の名前を選択すると、現時点での3SEレポート提出状況、得意なスキル分野、保有資格を表示するようにしました。
クリックすると各ページに遷移します。

### キャリアロードマップ
各等級を選択すると、会社で定められている職務要件・昇格基準をもとに、現在の等級で求められること、次の等級で求められることを確認できます。

### ライン年表
会議・イベント・資格取得・案件に関するトピックなどメンバーの動向など、皆で積み重ねていく出来事を記録していきます。",2026-08-09,2026-08-16,info,期間,
※申込期間延長※ 2027年上期 意欲ある全役職員向け 選択式技術研修について,"ライン別会議でお伝えした通り、Udemy Businessの活用は部の育成方針にも掲げられています。

Udemy Businessは、最初に選択した講座を修了すれば、その後は他の講座も受け放題です。

ぜひ積極的に申し込み、キャリアアップやスキルアップに活用してください。

あわせて、学習した内容や身につけたスキルは、スキルマップにも反映・更新していきましょう。

### 詳細

申込方法や利用方法などの詳細は、LINE WORKSの案内を確認してください。

[Udemy Businessの案内はこちら](https://board.worksmobile.com/main/article/4080000000849198798?ogToken=23921.8067bbc6379b4648a5d17f73a4268778)
https://board.worksmobile.com/main/article/4080000000849198798?ogToken=23921.8067bbc6379b4648a5d17f73a4268778",2026-08-08,2026-08-24,info,期間,
８月度管理ライン別会議について,"キックオフを兼ねて、8月7日（金）19:00～ 管理ライン別会議を実施します！

新しいラインでの最初の会議となりますので、参加できるようスケジュール調整をお願いします。",2026-07-27,2026-08-07,info,期間,
８月度全体会議について,"8月7日（金）に実施します！

参加できるよう、スケジュール調整をお願いします。

### 詳細

開催時間や場所などの詳細は、LINE WORKSの案内を確認してください。

[LINE WORKSの案内はこちら](https://board.worksmobile.com/main/article/4080000000845940622?ogToken=23921.c72624820bbd43c8888ab0d86ffa485c)",2026-07-27,2026-08-07,info,期間,
