実施月,実施日,開催単位,実施形式,備考,資料リンク
2026年8月,2026年8月7日,単独,"職場別,懇親会",,202608_ライン別会議落とし込み事項.pdf|https://syshd01-my.sharepoint.com/:b:/g/personal/yonehana_masashi_syshd01_onmicrosoft_com/IQBQv0_8Sg8cTKOsOd2N6E2tAew27dYRBolrBW1RFlo5FFQ?e=dblioq
2026年9月,2026年9月4日,単独,"職場別,懇親会",,
2026年10月,2026年10月9日,単独,職場別,,
2026年11月,2026年11月6日,単独,"職場別,懇親会",,
2026年12月,2026年12月4日,合同,"職場別,懇親会",,
2027年1月,2027年1月8日,単独,職場別,,
2027年2月,2027年2月5日,単独,"職場別,懇親会",,
2027年3月,2027年3月5日,単独,"職場別,懇親会",,
2027年4月,2027年4月9日,単独,職場別,,
2027年5月,2027年5月7日,単独,"職場別,懇親会",,
2027年6月,2027年6月4日,合同,"職場別,懇親会",,
2027年7月,2027年7月9日,単独,"職場別,懇親会",,
