タイトル,顧客名,月,予算,実績
2026年8月,CTC,2026年8月1日,"17,160",0
2026年9月,CTC,2026年9月1日,"20,000",0
2026年10月,CTC,2026年10月1日,"23,200",0
2026年11月,CTC,2026年11月1日,"23,200",0
2026年12月,CTC,2026年12月1日,"23,200",0
2027年1月,CTC,2027年1月1日,"28,000",0
2027年2月,CTC,2027年2月1日,"28,000",0
2027年3月,CTC,2027年3月1日,"28,800",0
2027年4月,CTC,2027年4月1日,"28,800",0
2027年5月,CTC,2027年5月1日,"28,800",0
2027年6月,CTC,2027年6月1日,"30,400",0
2027年7月,CTC,2027年7月1日,"32,000",0
2026年8月,NSD,2026年8月1日,"17,504",0
2026年9月,NSD,2026年9月1日,"16,920",0
2026年10月,NSD,2026年10月1日,"18,300",0
2026年11月,NSD,2026年11月1日,"18,300",0
2026年12月,NSD,2026年12月1日,"18,980",0
2027年1月,NSD,2027年1月1日,"18,980",0
2027年2月,NSD,2027年2月1日,"20,000",0
2027年3月,NSD,2027年3月1日,"19,180",0
2027年4月,NSD,2027年4月1日,"19,180",0
2027年5月,NSD,2027年5月1日,"19,180",0
2027年6月,NSD,2027年6月1日,"19,180",0
2027年7月,NSD,2027年7月1日,"20,000",0
2026年8月,BSS,2026年8月1日,"10,208",0
2026年9月,BSS,2026年9月1日,"7,902",0
2026年10月,BSS,2026年10月1日,"9,130",0
2026年11月,BSS,2026年11月1日,"9,130",0
2026年12月,BSS,2026年12月1日,"9,130",0
2027年1月,BSS,2027年1月1日,"9,130",0
2027年2月,BSS,2027年2月1日,"9,130",0
2027年3月,BSS,2027年3月1日,"7,398",0
2027年4月,BSS,2027年4月1日,"8,120",0
2027年5月,BSS,2027年5月1日,"8,120",0
2027年6月,BSS,2027年6月1日,"8,120",0
2027年7月,BSS,2027年7月1日,"8,120",0
2026年8月,JRI,2026年8月1日,"5,698",0
2026年9月,JRI,2026年9月1日,"5,698",0
2026年10月,JRI,2026年10月1日,"7,317",0
2026年11月,JRI,2026年11月1日,"7,317",0
2026年12月,JRI,2026年12月1日,"7,200",0
2027年1月,JRI,2027年1月1日,"8,000",0
2027年2月,JRI,2027年2月1日,"8,000",0
2027年3月,JRI,2027年3月1日,"8,000",0
2027年4月,JRI,2027年4月1日,"9,600",0
2027年5月,JRI,2027年5月1日,"9,480",0
2027年6月,JRI,2027年6月1日,"9,480",0
2027年7月,JRI,2027年7月1日,"9,480",0
2026年8月,CITS,2026年8月1日,"2,688",0
2026年9月,CITS,2026年9月1日,"2,688",0
2026年10月,CITS,2026年10月1日,"4,026",0
2026年11月,CITS,2026年11月1日,"4,026",0
2026年12月,CITS,2026年12月1日,"4,026",0
2027年1月,CITS,2027年1月1日,"5,368",0
2027年2月,CITS,2027年2月1日,"5,368",0
2027年3月,CITS,2027年3月1日,"5,368",0
2027年4月,CITS,2027年4月1日,"5,368",0
2027年5月,CITS,2027年5月1日,"5,368",0
2027年6月,CITS,2027年6月1日,"5,368",0
2027年7月,CITS,2027年7月1日,"5,368",0
2026年8月,BIP,2026年8月1日,"2,499",0
2026年9月,BIP,2026年9月1日,"3,200",0
2026年10月,BIP,2026年10月1日,"3,200",0
2026年11月,BIP,2026年11月1日,"3,200",0
2026年12月,BIP,2026年12月1日,"4,000",0
2027年1月,BIP,2027年1月1日,"4,000",0
2027年2月,BIP,2027年2月1日,"4,000",0
